split,group_id,class_name,source_group_image,original_path,split_dataset_path
train,group_2222,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_2222\Bgrade__rot2_cell0422.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\rot2_cell0422.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__rot2_cell0422.png
train,group_8295,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_8295\ok__rot3_cell1253.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot3_cell1253.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot3_cell1253.png
train,group_1732,Bgrade,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_1732\Bgrade__mirrv_cell0367.png,C:\Users\my\PVModulecv\ResNetTrainData\Bgrade\mirrv_cell0367.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\Bgrade\Bgrade__mirrv_cell0367.png
train,group_6423,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_6423\ok__mirrv_cell0093.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell0093.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell0093.png
train,group_7350,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_7350\ok__mirrv_cell1899.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\mirrv_cell1899.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__mirrv_cell1899.png
train,group_7895,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_7895\ok__rot2_cell0188.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot2_cell0188.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot2_cell0188.png
train,group_9097,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_9097\ok__rot3_cell2591.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot3_cell2591.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot3_cell2591.png
train,group_4149,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_4149\ok__cell1436.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell1436.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell1436.png
train,group_4300,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_4300\ok__cell1636.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\cell1636.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__cell1636.png
train,group_9112,ok,C:\Users\my\PVModulecv\Manu\duplicate_groups_output_threshold_2_updated\group_9112\ok__rot3_cell2615.png,C:\Users\my\PVModulecv\ResNetTrainData\ok\rot3_cell2615.png,C:\Users\my\PVModulecv\Manu\experimentA_split\train\ok\ok__rot3_cell2615.png
